1,0.000376,0.000017,0.000359,0.000190,0.000107
2,0.000659,0.000026,0.000612,0.000351,0.000206
3,0.000407,0.000018,0.000381,0.000218,0.000118
4,0.000637,0.000025,0.000582,0.000352,0.000204
5,0.000340,0.000015,0.000316,0.000173,0.000109
6,0.000582,0.000023,0.000528,0.000316,0.000166
7,0.000345,0.000015,0.000317,0.000178,0.000107
8,0.000598,0.000022,0.000536,0.000333,0.000187
9,0.000365,0.000016,0.000338,0.000176,0.000113
10,0.000607,0.000024,0.000552,0.000314,0.000208
11,0.000418,0.000017,0.000383,0.000194,0.000211
12,0.000657,0.000023,0.000592,0.000321,0.000272
13,0.000362,0.000016,0.000336,0.000179,0.000120
14,0.000614,0.000023,0.000558,0.000319,0.000195
15,0.000347,0.000017,0.000320,0.000178,0.000127
16,0.000674,0.000024,0.000592,0.000313,0.000363
17,0.000400,0.000017,0.000360,0.000167,0.000217
18,0.000671,0.000023,0.000581,0.000300,0.000339
19,0.000374,0.000017,0.000343,0.000159,0.000131
20,0.000600,0.000022,0.000530,0.000272,0.000199
21,0.000344,0.000014,0.000307,0.000158,0.000096
22,0.000605,0.000021,0.000522,0.000288,0.000189
23,0.000379,0.000016,0.000338,0.000164,0.000143
24,0.000686,0.000026,0.000602,0.000286,0.000250
25,0.000325,0.000014,0.000288,0.000153,0.000098
26,0.000554,0.000020,0.000473,0.000255,0.000164
27,0.000339,0.000014,0.000290,0.000160,0.000080
28,0.000633,0.000020,0.000514,0.000317,0.000204
29,0.000350,0.000015,0.000301,0.000185,0.000073
30,0.000633,0.000023,0.000520,0.000298,0.000133
31,0.000347,0.000015,0.000292,0.000154,0.000106
32,0.000708,0.000023,0.000537,0.000328,0.000320
33,0.000435,0.000016,0.000325,0.000195,0.000216
34,0.000748,0.000025,0.000545,0.000335,0.000294
35,0.000371,0.000016,0.000292,0.000180,0.000069
36,0.000616,0.000022,0.000466,0.000348,0.000111
37,0.000445,0.000019,0.000342,0.000205,0.000154
38,0.000748,0.000028,0.000556,0.000377,0.000196
39,0.000425,0.000016,0.000301,0.000184,0.000150
40,0.000744,0.000026,0.000495,0.000346,0.000230
41,0.000451,0.000017,0.000305,0.000218,0.000152
42,0.000841,0.000029,0.000529,0.000415,0.000288
43,0.000409,0.000017,0.000300,0.000227,0.000091
44,0.000766,0.000026,0.000488,0.000419,0.000190
45,0.000513,0.000019,0.000347,0.000243,0.000140
46,0.000853,0.000028,0.000511,0.000430,0.000225
47,0.000430,0.000015,0.000269,0.000215,0.000098
48,0.000769,0.000025,0.000467,0.000400,0.000139
49,0.000635,0.000021,0.000385,0.000280,0.000177
50,0.000890,0.000027,0.000513,0.000463,0.000210
51,0.000436,0.000014,0.000264,0.000226,0.000073
52,0.000818,0.000023,0.000464,0.000428,0.000108
53,0.000683,0.000020,0.000381,0.000319,0.000099
54,0.001020,0.000027,0.000527,0.000505,0.000159
55,0.000497,0.000014,0.000266,0.000267,0.000082
56,0.000888,0.000023,0.000436,0.000478,0.000150
57,0.001073,0.000023,0.000424,0.000561,0.000330
58,0.001561,0.000034,0.000596,0.000918,0.000367
59,0.000592,0.000018,0.000291,0.000354,0.000068
60,0.001344,0.000032,0.000499,0.000860,0.000162
61,0.000765,0.000016,0.000277,0.000458,0.000090
62,0.001369,0.000025,0.000458,0.000829,0.000142
63,0.000567,0.000014,0.000239,0.000319,0.000060
64,0.001247,0.000023,0.000409,0.000728,0.000126
65,0.000683,0.000018,0.000277,0.000403,0.000064
66,0.001233,0.000027,0.000429,0.000821,0.000108
67,0.000626,0.000013,0.000221,0.000385,0.000055
68,0.001237,0.000023,0.000369,0.000749,0.000096
69,0.001843,0.000024,0.000486,0.000763,0.000073
70,0.002463,0.000037,0.000693,0.000818,0.000136
71,0.000717,0.000015,0.000238,0.000453,0.000127
72,0.001260,0.000020,0.000341,0.000855,0.000162
73,0.000659,0.000014,0.000199,0.000394,0.000053
74,0.001192,0.000021,0.000319,0.000764,0.000079
75,0.000768,0.000012,0.000202,0.000484,0.000069
76,0.001382,0.000019,0.000317,0.000914,0.000121
77,0.000868,0.000016,0.000196,0.000469,0.000068
78,0.001767,0.000032,0.000337,0.000920,0.000142
79,0.000694,0.000016,0.000187,0.000388,0.000036
80,0.001355,0.000019,0.000277,0.000905,0.000071
81,0.000728,0.000011,0.000190,0.000413,0.000042
82,0.001470,0.000018,0.000279,0.000914,0.000072
83,0.000715,0.000012,0.000183,0.000445,0.000034
84,0.001370,0.000019,0.000270,0.000853,0.000069
85,0.000728,0.000011,0.000171,0.000464,0.000051
86,0.001270,0.000017,0.000268,0.000843,0.000071
87,0.000830,0.000015,0.000225,0.000262,0.000047
88,0.001134,0.000017,0.000292,0.000570,0.000061
89,0.000758,0.000014,0.000204,0.000292,0.000041
90,0.001854,0.000027,0.000411,0.000557,0.000088
91,0.000681,0.000011,0.000177,0.000363,0.000034
92,0.001323,0.000014,0.000245,0.000814,0.000062
93,0.000931,0.000013,0.000177,0.000453,0.000066
94,0.001429,0.000016,0.000268,0.000746,0.000089
95,0.000745,0.000010,0.000160,0.000470,0.000046
96,0.001520,0.000015,0.000238,0.000956,0.000069
97,0.000835,0.000011,0.000166,0.000439,0.000038
98,0.001589,0.000018,0.000251,0.000900,0.000053
99,0.000840,0.000010,0.000154,0.000474,0.000053
100,0.001478,0.000014,0.000232,0.000894,0.000082
101,0.000882,0.000011,0.000164,0.000473,0.000038
102,0.001362,0.000016,0.000298,0.000475,0.000054
103,0.000834,0.000011,0.000157,0.000456,0.000047
104,0.001688,0.000017,0.000259,0.000926,0.000054
105,0.001172,0.000017,0.000203,0.000631,0.000155
106,0.002007,0.000020,0.000281,0.001126,0.000163
107,0.000719,0.000011,0.000157,0.000423,0.000047
108,0.001559,0.000015,0.000246,0.000949,0.000079
109,0.000716,0.000010,0.000150,0.000445,0.000029
110,0.001495,0.000014,0.000227,0.000925,0.000043
111,0.000873,0.000009,0.000153,0.000510,0.000059
112,0.001432,0.000017,0.000252,0.000779,0.000056
113,0.000887,0.000009,0.000145,0.000502,0.000039
114,0.001681,0.000014,0.000242,0.000934,0.000052
115,0.000758,0.000008,0.000143,0.000458,0.000025
116,0.001429,0.000012,0.000207,0.000910,0.000042
117,0.000781,0.000008,0.000134,0.000445,0.000035
118,0.001361,0.000012,0.000207,0.000819,0.000049
119,0.000656,0.000011,0.000148,0.000338,0.000030
120,0.001367,0.000021,0.000259,0.000602,0.000042
121,0.000715,0.000008,0.000138,0.000437,0.000040
122,0.001344,0.000013,0.000205,0.000874,0.000049
123,0.000665,0.000009,0.000141,0.000436,0.000023
124,0.001244,0.000014,0.000220,0.000815,0.000054
125,0.000696,0.000008,0.000135,0.000457,0.000027
126,0.001422,0.000013,0.000196,0.000963,0.000040
127,0.000640,0.000008,0.000134,0.000392,0.000029
128,0.001214,0.000014,0.000217,0.000717,0.000048
129,0.000706,0.000008,0.000130,0.000470,0.000033
130,0.001438,0.000013,0.000202,0.000994,0.000051
131,0.000770,0.000009,0.000127,0.000542,0.000037
132,0.001255,0.000013,0.000197,0.000895,0.000050
133,0.000595,0.000008,0.000131,0.000382,0.000023
134,0.001411,0.000015,0.000253,0.000546,0.000044
135,0.000827,0.000010,0.000134,0.000586,0.000033
136,0.001656,0.000019,0.000213,0.001105,0.000048
137,0.000633,0.000008,0.000129,0.000502,0.000028
138,0.001415,0.000017,0.000199,0.001074,0.000035
139,0.000874,0.000013,0.000142,0.000497,0.000035
140,0.001628,0.000020,0.000210,0.001090,0.000052
141,0.000969,0.000012,0.000182,0.000294,0.000032
142,0.001110,0.000012,0.000206,0.000780,0.000045
143,0.001066,0.000010,0.000149,0.000719,0.000059
144,0.001625,0.000013,0.000198,0.001265,0.000056
145,0.000616,0.000009,0.000132,0.000489,0.000045
146,0.001209,0.000012,0.000190,0.001015,0.000067
147,0.000585,0.000010,0.000135,0.000408,0.000025
148,0.001097,0.000015,0.000199,0.000884,0.000043
149,0.000815,0.000008,0.000131,0.000554,0.000038
150,0.001358,0.000012,0.000187,0.001058,0.000067
151,0.000631,0.000009,0.000128,0.000558,0.000023
152,0.001381,0.000024,0.000262,0.000638,0.000037
153,0.000792,0.000009,0.000145,0.000581,0.000044
