1,0.0474,0.0142,0.3513,0.1201,0.3859,0.1918,0.3877,0.2541,0.3662,0.2986,0.3486,0.3408,0.3367,0.3819,0.3186,0.4249,0.2923,0.4635,0.2642,0.506,0.2499,0.5502,0.2467,0.5994,0.2253,0.6505
2,0.0428,0.0142,0.2803,0.132,0.3176,0.2039,0.3017,0.2654,0.2759,0.3108,0.2683,0.3557,0.2503,0.3983,0.2359,0.4385,0.2291,0.4818,0.2224,0.5324,0.2007,0.5738,0.1923,0.6198,0.1868,0.6665
3,0.0492,0.0141,0.3498,0.1496,0.3791,0.2479,0.3926,0.3362,0.3737,0.4035,0.3396,0.4697,0.3426,0.5495,0.3217,0.6182,0.31,0.6904,0.2827,0.7557,0.257,0.8188,0.2551,0.8933,0.2458,0.9641
4,0.0409,0.0141,0.3801,0.1524,0.4141,0.2532,0.4329,0.3476,0.3965,0.4191,0.3792,0.4903,0.357,0.5602,0.3431,0.6361,0.314,0.7076,0.2967,0.7853,0.2659,0.8585,0.2546,0.9343,0.247,1.0019
5,0.0424,0.0141,0.4172,0.2103,0.3024,0.3312,0.2773,0.4102,0.2825,0.4863,0.2822,0.5614,0.305,0.6526,0.3231,0.7527,0.3244,0.8752,0.4011,1.0706,0.5044,1.3274,0.5652,1.6093,0.5903,1.9062
6,0.0301,0.0141,0.5427,0.2057,0.477,0.3312,0.464,0.417,0.4392,0.4912,0.3889,0.5655,0.3647,0.6286,0.3371,0.6961,0.3062,0.7533,0.2571,0.8143,0.2182,0.8643,0.1911,0.917,0.1674,0.9774
7,0.1229,0.0141,0.6118,0.3032,0.5781,0.4801,0.5969,0.6339,0.6047,0.7806,0.5781,0.952,0.5577,1.1207,0.548,1.2937,0.5289,1.4713,0.5208,1.6705,0.5005,1.8651,0.4867,2.056,0.4576,2.2471
8,0.0403,0.0141,0.6925,0.328,0.7087,0.5776,0.7021,0.7662,0.6886,0.9637,0.6796,1.2059,0.6587,1.4319,0.6433,1.6638,0.6187,1.8893,0.6145,2.1586,0.5901,2.414,0.5642,2.6754,0.5341,2.9486
9,0.0439,0.0141,0.7451,0.3611,0.7235,0.5725,0.7172,0.77,0.7069,0.9762,0.7179,1.3015,0.7032,1.6231,0.6796,1.9886,0.6646,2.3386,0.6577,2.7848,0.6356,3.2243,0.6151,3.6434,0.5896,4.0708
10,0.1218,0.014,0.7463,0.3473,0.7161,0.5153,0.7079,0.6857,0.7046,0.8719,0.7076,1.1468,0.696,1.4444,0.6962,1.8167,0.6831,2.1603,0.6765,2.5829,0.6481,2.9944,0.6188,3.3979,0.6023,3.8325
11,0.0407,0.0141,0.7615,0.4153,0.7304,0.5932,0.7351,0.8134,0.7343,1.0647,0.7181,1.4116,0.7224,1.847,0.7208,2.3348,0.7103,2.8719,0.707,3.5546,0.6943,4.3061,0.6783,5.0246,0.6548,5.7708
