1,0.096,0.06,44
2,0.092,0.04,49
3,3.5076,0.98,2
4,3.6084,0.98,2
5,0.4601,0.32,29
6,3.5708,0.9,6
7,5.6384,1,1
8,5.8493,1,1
9,6.3033,1,1
10,6.3325,1,1
11,6.6295,1,1
12,6.5923,1,1
13,6.8155,1,1
14,6.9168,1,1
15,7.0666,1,1
16,7.037,1,1
17,7.1555,1,1
18,7.1961,1,1
19,1.0906,0.28,16
20,0.5837,0.26,21
21,0.2024,0.3,18
22,0.0629,0.2,21
23,0.0969,0.42,17
24,2.3253,0.32,15
25,0.0995,0.32,15
26,0.0941,0.34,18
27,0.2406,0.46,15
28,0.1089,0.36,19
29,3.7725,0.6,10
30,3.6134,0.58,13
31,1.2583,0.22,19
32,2.9294,0.48,15
33,3.2157,0.56,13
34,3.2132,0.56,11
35,5.1363,0.94,4
36,2.8244,0.5,13
37,0.0841,0.36,24
38,4.6385,0.88,5
39,5.0999,1,1
40,5.2048,1,1
41,5.1085,1,1
42,4.7321,0.92,4
43,2.2338,0.4,15
44,5.133,0.98,2
45,4.1644,0.8,7
46,4.3667,0.84,6
47,3.7966,0.7,11
48,4.2781,0.8,8
49,3.7698,0.68,12
50,4.8455,0.86,6
51,3.0254,0.5,11
52,4.4144,0.76,10
53,4.6187,0.76,7
54,5.0045,0.82,6
55,4.9188,0.78,7
56,4.0475,0.62,13
57,4.9596,0.8,6
58,4.3394,0.66,9
59,4.8853,0.7,8
60,3.553,0.5,12
61,4.3509,0.62,9
62,5.1387,0.76,5
63,4.7247,0.66,15
64,4.8607,0.7,14
65,3.9473,0.52,11
66,4.8567,0.68,11
67,3.5041,0.46,14
68,3.2908,0.44,14
69,3.8051,0.52,11
70,2.8566,0.38,13
71,2.5891,0.34,17
72,1.5047,0.32,18
73,3.5128,0.46,18
74,5.2474,0.74,10
75,2.402,0.32,16
76,0.4776,0.24,20
77,1.8677,0.24,18
78,0.3786,0.26,23
79,0.0862,0.3,20
80,0.2215,0.16,27
81,0.0738,0.2,24
82,5.4181,0.84,7
83,0.0643,0.16,26
84,2.4069,0.34,15
85,5.1531,0.76,7
86,2.773,0.4,13
87,0.076,0.34,23
88,0.0722,0.26,24
89,3.2936,0.52,7
90,1.3837,0.36,13
91,4.5236,0.76,5
92,2.6005,0.4,13
93,4.099,0.64,7
94,3.225,0.5,13
95,3.8727,0.62,12
96,4.1672,0.68,9
97,4.4611,0.74,10
98,4.2841,0.68,11
99,3.7852,0.6,15
100,5.7582,0.94,3
101,4.0983,0.64,15
102,5.0329,0.8,10
103,5.5985,0.88,6
104,4.8526,0.76,8
105,6.4215,1,1
106,4.11,0.62,12
107,5.1198,0.78,9
108,4.7305,0.72,11
109,4.9149,0.74,10
110,5.2571,0.8,9
111,4.7135,0.72,11
112,4.2341,0.64,14
113,4.7694,0.7,15
