1,1535,2,112,1
10,961,2,105,1
20,262,2,113,1
30,262,13,99,13
40,262,7,113,6
50,262,8,114,7
60,36,47,93,50
70,36,63,89,70
80,36,66,102,64
90,36,62,93,66
100,36,62,100,62
110,36,57,113,50
120,36,53,94,56
130,36,50,113,44
140,36,51,112,45
150,36,42,109,38
160,36,44,115,38
170,36,59,108,54
180,36,52,100,52
190,36,54,116,46
200,36,34,116,29
210,36,44,113,38
220,36,36,109,33
230,36,49,110,44
240,36,29,102,28
250,36,46,97,47
260,36,32,109,29
270,36,31,112,27
280,36,37,100,37
290,36,40,92,43
300,36,42,96,43
310,36,46,108,42
320,36,48,94,51
330,36,40,112,35
340,36,23,100,23
350,36,43,108,39
360,36,30,115,26
370,36,33,94,35
380,36,41,111,36
390,36,28,112,25
400,36,43,104,41
410,36,43,103,41
420,36,25,106,23
430,36,39,96,40
440,36,33,111,29
450,36,40,100,40
460,36,36,100,36
470,36,39,112,34
480,36,21,108,19
490,36,49,111,44
500,36,34,97,35
510,36,46,105,43
520,36,30,101,29
530,36,45,100,45
540,36,20,112,17
550,36,33,89,37
560,36,36,92,39
570,36,44,115,38
580,36,26,105,24
590,36,30,86,34
600,36,29,109,26
610,36,49,104,47
620,36,33,116,28
630,36,25,103,24
640,36,35,80,43
650,36,24,101,23
660,36,31,96,32
670,36,32,110,29
680,36,25,101,24
690,36,45,103,43
700,36,52,109,47
710,36,34,116,29
720,36,45,110,40
730,36,30,114,26
740,36,23,110,20
750,36,48,113,42
760,36,18,87,20
770,36,42,97,43
780,36,29,102,28
790,36,33,114,28
800,36,21,85,24
810,36,38,111,34
820,36,30,99,30
830,36,43,104,41
840,36,47,109,43
850,36,30,105,28
860,36,53,109,48
870,36,34,108,31
880,36,40,94,42
890,36,38,110,34
900,36,42,95,44
910,36,27,96,28
920,36,52,104,50
930,36,36,114,31
940,36,32,111,28
950,36,29,111,26
960,36,17,84,20
970,36,25,96,26
980,36,37,115,32
990,36,28,103,27
1000,36,38,100,38
1010,36,45,113,39
1020,36,29,112,25
1030,36,41,106,38
1040,36,41,100,41
1050,36,30,113,26
1060,36,42,110,38
1070,36,38,108,35
1080,36,25,105,23
1090,36,50,112,44
1100,262,11,73,15
1110,36,29,114,25
1120,36,39,98,39
1130,36,63,112,56
1140,36,20,116,17
1150,36,24,103,23
1160,36,38,109,34
1170,36,36,94,38
1180,36,37,105,35
1190,36,38,91,41
1200,36,42,112,37
1210,36,29,112,25
1220,36,41,105,39
1230,36,37,103,35
1240,36,38,81,46
1250,36,22,97,22
1260,36,33,100,33
1270,36,21,113,18
1280,36,31,86,36
1290,36,37,109,33
1300,36,44,106,41
1310,36,45,105,42
1320,36,38,109,34
1330,36,31,109,28
1340,36,41,98,41
1350,36,24,113,21
1360,36,27,113,23
1370,36,40,113,35
