1,0.01863723
2,0.00281700
3,0.00496914
4,0.00337491
5,-0.00135212
6,-0.00763401
7,-0.00561145
8,0.00551221
9,0.00268817
10,0.00631213
11,0.00420678
12,0.01190238
13,0.00949637
14,0.01332439
15,0.00594280
16,0.00615630
17,-0.00013892
18,-0.01255157
19,0.00608124
20,0.00816005
21,0.00024585
22,-0.00165433
23,0.00519422
24,-0.00538747
25,0.01518805
26,0.00029325
27,-0.00822184
28,0.00773734
29,-0.00884386
30,0.00667627
31,-0.00024825
32,0.00415414
33,-0.00202062
34,0.01312575
35,0.00651445
36,-0.00118225
37,-0.00430835
38,-0.00193626
39,0.00471574
40,-0.00852617
41,0.00644328
42,0.02137715
43,-0.00915134
44,-0.00756220
45,0.00888955
46,0.02231537
47,-0.00752103
48,0.00207891
49,0.02893201
50,0.00037398
51,0.00693707
52,0.02311513
53,0.04285308
54,-0.01175966
55,-0.00829429
56,-0.01197844
57,0.01402913
58,0.09512642
59,0.00987850
60,0.03369831
61,-0.02000587
62,0.00883030
63,0.02846874
64,0.05242048
65,0.04431717
66,0.00976713
67,-0.00843302
68,-0.02212549
69,0.04619132
70,0.17491055
71,0.02184313
72,0.02577977
73,0.00960706
74,0.01550796
75,0.06385936
76,-0.00884728
77,-0.02924549
78,0.00129236
79,-0.01985229
80,-0.02255232
81,0.14449427
82,0.04021479
83,-0.01107449
84,0.02875630
85,0.02556607
86,0.12224665
87,0.06347879
88,0.09601537
89,0.09150123
90,0.12542105
91,-0.04105584
92,0.05899335
93,0.08774296
94,-0.01966052
95,0.10244515
96,0.01429305
97,-0.01159594
98,-0.04156369
99,0.07612367
100,0.10984477
101,-0.03568141
102,0.09952592
103,0.05292137
104,0.01043106
105,0.01412440
106,0.14352870
107,0.26325580
108,-0.00771131
109,0.15964562
110,-0.02105596
111,0.05996664
112,0.03929683
113,0.04774050
114,-0.02702301
115,-0.02784651
116,0.06990250
117,-0.01772187
118,0.08005820
119,0.11090986
120,0.03627416
