1,8.0521,7164
2,8.0699,6306
3,8.0494,5348
4,8.0510,7136
5,8.0547,7494
6,8.0562,7343
7,8.0436,7407
8,8.0460,7189
9,8.0352,6463
10,8.0373,6773
11,7.9925,6345
12,8.0208,7121
13,7.9939,6712
14,8.0036,6663
15,7.9833,6867
16,7.9594,6850
17,7.9436,6151
18,7.9559,7256
19,7.9248,5983
20,7.9355,7453
21,7.9050,7383
22,7.9177,7401
23,7.8376,6263
24,7.8454,5355
25,7.8699,7276
26,7.8761,7424
27,7.8085,7542
28,7.7665,7576
29,7.7806,6713
30,7.7607,6472
31,7.7755,7234
32,7.6618,7038
33,7.6592,7545
34,7.6702,6406
35,7.6588,7143
36,7.7131,7545
37,7.5606,5975
38,7.5887,6132
39,7.5456,7008
40,7.5846,7292
41,7.4519,7104
42,7.3895,6741
43,7.4728,6272
44,7.4272,7157
45,7.3237,5556
46,7.4119,7051
47,7.3644,7544
48,7.3377,5869
49,7.1056,5340
50,7.3720,7417
51,7.3111,7401
52,7.3541,6435
53,6.9917,5105
54,7.2458,7544
55,7.1633,7194
56,7.1950,7124
57,6.6457,6557
58,6.7933,5979
59,6.8863,5634
60,6.5431,5964
61,6.7257,6984
62,6.7836,6674
63,6.9617,7208
64,6.7924,7054
65,6.5212,5759
66,6.7201,6680
67,6.7889,7202
68,6.8181,7257
69,6.6061,4983
70,6.6602,5740
71,6.3444,6458
72,6.7126,7300
73,6.6868,7019
74,6.6763,6650
75,6.3643,6648
76,6.3460,6081
77,6.4438,7295
78,6.4059,7291
79,6.6316,7418
80,6.1289,6654
81,6.2575,6437
82,6.2883,7129
83,6.3909,6768
84,6.4442,6901
85,6.1808,6701
86,6.2441,6466
87,6.2415,6059
88,6.6225,7289
89,6.1551,6240
90,6.1177,6034
91,6.1713,6638
92,6.3354,7111
93,6.3942,7544
94,6.0855,6239
95,5.9907,6457
96,6.2044,6988
97,6.3906,7337
98,6.3580,7122
99,6.2582,7325
100,6.0367,6476
101,6.2955,7331
102,5.9538,4912
103,6.2408,7543
104,6.2271,7608
105,5.4691,5962
106,6.2333,7409
107,5.9366,6410
108,6.0092,7007
109,5.9392,6464
110,6.1627,7294
111,6.0419,7137
112,5.7024,5630
113,6.0010,7542
114,6.2167,7279
115,6.0209,7292
116,6.1284,7142
117,6.0927,7417
118,5.9418,6484
119,5.8567,6279
120,5.7775,5985
121,6.0025,7163
122,5.9047,7088
123,5.9355,7040
124,5.7811,6577
125,5.8524,6664
126,5.9856,7539
127,5.6875,6459
128,5.6385,6558
129,5.7651,6873
130,5.8164,7307
131,5.7224,7038
132,5.7819,6591
133,5.7116,6493
134,5.5874,5403
135,5.6747,6587
136,5.7610,7419
137,5.5633,6389
138,5.7855,7672
139,5.9589,7420
140,5.7385,7163
141,5.5272,5792
142,5.7415,7163
143,5.5885,7418
144,5.7439,6940
145,5.6402,6477
146,5.5882,7155
147,5.6968,6896
148,5.6840,6802
149,5.4200,7276
150,5.5992,7066
151,5.6724,7308
152,5.4676,5583
153,5.4145,6375
154,5.5770,6470
155,5.7159,7293
156,5.5409,7222
157,5.6322,7290
158,5.4909,7291
159,5.3126,6409
160,5.4611,7570
