file,count,mean,std,min,max,max_single_increase_val,max_single_increase_idx,max_single_decrease_val,max_single_decrease_idx,longest_inc_len,longest_inc_total,longest_inc_start,longest_dec_len,longest_dec_total,longest_dec_start,trend_reversals,last_reversal_index,linear_slope,linear_r2
embedding_grads.bin,5000000,-0.048391506181412774,1.3326924809853051,-279.7688903808594,181.86370849609375,256.35548973083496,198079,-283.2991671562195,198078,8,4.335986495018005,1724963,7,-3.0649354457855225,3649577,3858008,4999998,3.309577854156346e-08,0.001284825274932011
layer0_ffn_w1_grads.bin,2359296,0.0008367768126403329,0.07238406977668314,-0.8492374420166016,0.6908177733421326,0.8475160766392946,4587,-0.848378375172615,4604,8,0.13570208474993706,1281055,7,-0.06818835437297821,126966,2037036,2359294,-8.967933953560849e-10,7.12003984260079e-05
layer0_ffn_w2_grads.bin,2359296,0.007671806843044459,0.2789408101822153,-4.039496421813965,4.770778179168701,5.1461740136146545,2167771,-4.460915431380272,2167635,8,0.33365269005298615,270324,9,-0.5668075457215309,384474,1572201,2359294,5.339520761697914e-09,0.00016996678508485186
layer0_qkv_grads.bin,983040,0.0019653207426590974,0.07116089416420142,-0.7063854932785034,0.7441888451576233,0.7335726916790009,537306,-0.7617392558604479,799487,9,0.021532149985432625,343660,9,-0.01775510748848319,760726,884006,983038,7.450934335339401e-09,0.0008828762055197448
layer0_wo_grads.bin,589824,0.004407770332605409,0.6190758773044044,-5.757328987121582,5.964727878570557,6.759411811828613,541894,-6.971420764923096,541487,8,0.8145820200443268,127038,7,-0.44063083827495575,42346,394521,589820,1.0309140009284824e-08,8.039346478638798e-06
layer10_ffn_w1_grads.bin,2359296,0.0004771315916095895,0.048393526693010204,-0.9261002540588379,0.7625518441200256,0.8800149336457253,1282495,-0.848619356751442,1282540,8,0.0355441365391016,853383,8,-0.1265999600291252,1002335,1871304,2359294,2.8587520750600295e-10,1.6186839377541062e-05
layer10_ffn_w2_grads.bin,2359296,0.004756216853640148,0.2696480050459141,-3.385317325592041,4.090325832366943,3.924476683139801,1272785,-4.122653670608997,1272547,8,0.47073958814144135,404543,8,-0.26062023639678955,29479,1565128,2359292,1.0944411944718088e-08,0.0007641419748239953
layer10_qkv_grads.bin,983040,0.00014636827580870315,0.05272140688073761,-1.0918875932693481,0.8340890407562256,1.0298320651054382,810959,-1.088184893131256,810960,8,0.08128460124135017,5464,7,-0.057940226048231125,175410,786758,983038,1.2203665129685067e-09,4.314869997656956e-05
layer10_wo_grads.bin,589824,0.001029603142528362,0.5522552040432236,-4.868956565856934,5.436983108520508,5.833521604537964,211124,-6.554698467254639,318580,8,1.3397573232650757,104922,8,-1.0470264256000519,162062,391698,589822,1.1422911717220248e-08,1.2403311210329448e-05
layer11_ffn_w1_grads.bin,2359296,-0.0003822662068558025,0.049217666962871505,-0.8704105615615845,0.8257578015327454,0.9061057567596436,445420,-0.8950066715478897,1520620,8,0.15152066200971603,834828,8,-0.07340810913592577,960847,1856438,2359294,4.91454718483781e-10,4.624966469202185e-05
layer11_ffn_w2_grads.bin,2359296,0.0048564053801142815,0.26685977084646006,-3.647836208343506,4.0647077560424805,4.077605506405234,1272153,-4.007735431194305,1274734,8,0.23120860755443573,1016717,9,-0.2639165297150612,924100,1575619,2359294,1.026489372226544e-08,0.0006863194609716405
layer11_qkv_grads.bin,983040,0.0007131026224501162,0.04741965089525785,-0.7963818907737732,0.7844576835632324,0.8531985059380531,975295,-0.8117883801460266,975312,7,0.07502171397209167,166703,8,-0.04584349785000086,318871,783059,983038,2.2080441817375803e-09,0.0001746063150133148
layer11_wo_grads.bin,589824,-0.000319792103010129,0.5848028608457997,-6.4490509033203125,5.212117671966553,8.57111406326294,318351,-8.21298599243164,318576,7,0.7608475685119629,79137,10,-0.5777302086353302,545304,393095,589822,-2.867633022259128e-09,6.970947352691326e-07
layer1_ffn_w1_grads.bin,2359296,-0.0010714123518774223,0.07315083665212317,-0.9748389720916748,0.8665111064910889,0.97317049279809,1348599,-1.0339775830507278,1348552,9,0.11897115781903267,1873257,8,-0.13136235252022743,177514,1983048,2359294,-8.725717304289147e-10,6.600051109006966e-05
layer1_ffn_w2_grads.bin,2359296,0.00843506656554348,0.2814124124239787,-3.599318504333496,3.820939302444458,4.020448446273804,1632591,-4.014846533536911,253263,8,0.5887081474065781,82517,8,-0.2617536410689354,67686,1585131,2359293,6.426556652821945e-09,0.00024190998753959025
layer1_qkv_grads.bin,983040,0.0014300317890707645,0.08022798185054958,-0.8564332723617554,1.0589350461959839,1.1099125146865845,908440,-0.9976433198899031,908531,8,0.1335570178925991,838755,8,-0.16149500012397766,271230,847893,983038,5.941458285402535e-09,0.0004416675608170939
layer1_wo_grads.bin,589824,-0.0016757326205408694,0.5769552165283309,-6.789874076843262,6.605072975158691,6.911424279212952,402901,-7.624852895736694,541973,7,0.44242286682128906,37514,7,-0.911438912153244,74695,386601,589822,-3.411204292003123e-09,1.0134326320354603e-06
layer2_ffn_w1_grads.bin,2359296,0.0008898518057089272,0.07493409943896344,-0.8562318682670593,0.8912124633789062,0.9002401977777481,1072079,-0.8923605401068926,1237967,9,0.08553950674831867,1337168,10,-0.03718511946499348,228415,1953457,2359294,-4.0618729786342865e-10,1.362941791838157e-05
layer2_ffn_w2_grads.bin,2359296,0.008138716770816087,0.28608010282825497,-6.232816696166992,6.113519668579102,6.452510058879852,2166587,-6.604746997356415,1610555,8,0.28435875475406647,302954,8,-0.47575802356004715,401152,1574900,2359294,8.569142021338038e-09,0.0004161817113561561
layer2_qkv_grads.bin,983040,-0.0024454052407462696,0.07644331507246653,-1.077124834060669,1.2818124294281006,1.4252067804336548,797180,-1.3813936710357666,797179,7,0.051357466727495193,34106,7,-0.14809710904955864,119112,829138,983038,-6.512390257374614e-09,0.0005844709684478255
layer2_wo_grads.bin,589824,0.003059763205513377,0.6199270235110467,-5.775181293487549,6.414638996124268,7.84788703918457,541589,-7.1125465631484985,541443,7,0.268839493393898,312297,8,-0.42133937776088715,291936,395933,589821,9.289628577910795e-09,6.50997315776447e-06
layer3_ffn_w1_grads.bin,2359296,0.0001180977595284431,0.07420512784279189,-1.025295615196228,0.9904369115829468,1.007207065820694,651260,-1.0255564600229263,146684,7,0.1274503357708454,76855,7,-0.09442707896232605,169740,1920975,2359294,1.9395277517594135e-11,3.168894469052219e-08
layer3_ffn_w2_grads.bin,2359296,0.009039036574774093,0.28551664544678945,-4.953546524047852,5.546211242675781,5.606486361473799,2165910,-5.139280378818512,1612272,8,0.8490453958511353,530199,8,-0.6978999525308609,97093,1575760,2359293,8.92701050932397e-09,0.00045345358939108404
layer3_qkv_grads.bin,983040,0.00010135832719845675,0.06992900643867528,-1.1281189918518066,0.8619861602783203,1.084351196885109,973007,-1.1288814097642899,973052,7,0.08905014768242836,56342,8,-0.1113746277987957,46904,813349,983038,-2.5460930022296834e-10,1.0675665174098015e-06
layer3_wo_grads.bin,589824,0.00031826874239262694,0.6178004351350863,-4.7811102867126465,5.100693702697754,7.12299108505249,63391,-8.075001001358032,541855,8,0.4841611236333847,378653,7,-2.358111262321472,2309,392210,589822,7.658493778273715e-10,4.455063951080973e-08
layer4_ffn_w1_grads.bin,2359296,-0.0008543720938284699,0.07114495358480381,-0.9145167469978333,1.1291170120239258,1.1627188324928284,1671164,-1.19685048609972,1671065,8,0.1297069564461708,519412,8,-0.011722678318619728,946912,1899195,2359294,1.7839274279970785e-09,0.0002916418078422467
layer4_ffn_w2_grads.bin,2359296,0.007983392874010072,0.26715239895822374,-4.649266242980957,4.481501579284668,4.613780438899994,2168396,-4.882228881120682,2168397,9,0.7074742838740349,979062,9,-0.23587434738874435,375248,1575060,2359294,7.61443647658603e-09,0.00037682611755707196
layer4_qkv_grads.bin,983040,-0.0009517973843834931,0.08443923662436276,-1.2427942752838135,1.030523419380188,1.1486623287200928,832994,-1.2592599093914032,977660,9,0.12942178919911385,682808,7,-0.04335350543260574,60406,802848,983038,6.541530181330436e-10,4.833160700323802e-06
layer4_wo_grads.bin,589824,0.0006248439992934488,0.5561170764671054,-5.604443550109863,5.846823692321777,8.749468803405762,402898,-8.664831638336182,541906,7,0.5454588383436203,49186,7,-0.9763111472129822,7960,396954,589822,-1.593916650015808e-09,2.3815647121061545e-07
layer5_ffn_w1_grads.bin,2359296,0.00010781588204069849,0.0751667390684773,-0.9828203916549683,1.0500667095184326,1.0636593997478485,931536,-1.060260348021984,931481,8,0.12798139825463295,695809,7,-0.18642551638185978,700688,1886102,2359294,8.472207658056431e-10,5.8928499275689994e-05
layer5_ffn_w2_grads.bin,2359296,0.006621253701636169,0.2773107245023702,-4.198100566864014,4.388855457305908,4.54670512676239,2168418,-4.177631050348282,1612386,9,0.27191246300935745,1772440,9,-0.3926569074392319,866203,1579367,2359294,7.900335489309686e-09,0.00037647951812036506
layer5_qkv_grads.bin,983040,-0.0014596260408340242,0.0803520204867974,-1.3068360090255737,1.1060810089111328,1.4178163558244705,794009,-1.249356597661972,958460,9,0.19904232025146484,195390,8,-0.046771395951509476,467958,793803,983038,-1.0537612678196846e-08,0.001385007078126499
layer5_wo_grads.bin,589824,0.00204480419220765,0.6196163529904551,-5.927275657653809,5.650991439819336,10.954899787902832,541690,-9.51480484008789,402682,7,2.9133628606796265,2487,7,-1.9016022086143494,139503,388302,589821,5.896051975460668e-09,2.6250676399275363e-06
layer6_ffn_w1_grads.bin,2359296,0.0006895487321478644,0.050086944593782226,-0.7518740892410278,0.7036690711975098,0.7276577726006508,315600,-0.7641395032405853,1630416,8,0.030486303381621838,465445,8,-0.06269839406013489,680544,1905126,2359294,-5.194064668564514e-10,4.988261844440789e-05
layer6_ffn_w2_grads.bin,2359296,0.004284770773081271,0.281313883747875,-3.7741756439208984,4.467141628265381,3.9114878475666046,843179,-4.643638417124748,1273259,8,0.18127592653036118,291311,8,-0.20243872702121735,643799,1577572,2359294,1.1437972654608695e-08,0.0007668305234705963
layer6_qkv_grads.bin,983040,-0.00044567814836885314,0.05176781558591528,-1.0576550960540771,1.2501657009124756,1.2094257697463036,898494,-1.144481748342514,898495,8,0.04208557715173811,777566,8,-0.05651811137795448,85040,802610,983038,-6.91444181211981e-10,1.4366656439834813e-05
layer6_wo_grads.bin,589824,0.00022302890568082212,0.6024410109948384,-4.668639183044434,5.078519821166992,7.937892436981201,58320,-7.328326463699341,211152,7,0.8740072846412659,464635,7,-0.31486882269382477,7913,405382,589822,1.2041925204568235e-09,1.1583143255666783e-07
layer7_ffn_w1_grads.bin,2359296,0.0009764929064946831,0.04861755691557879,-0.7054882645606995,0.7073596715927124,0.7383124232292175,72172,-0.7160271294414997,72127,8,0.010194683447480202,313942,8,-0.07004955783486366,179056,1901273,2359294,5.151946251525498e-10,5.208827811975514e-05
layer7_ffn_w2_grads.bin,2359296,0.004575986426883209,0.2770191788855006,-3.6508045196533203,3.9791688919067383,3.9349722862243652,1274843,-4.207206130027771,1273446,9,0.34528473019599915,186799,9,-0.24490565061569214,1303414,1585079,2359294,1.0783423048564519e-08,0.0007028735951478682
layer7_qkv_grads.bin,983040,-0.0006788625214610942,0.050617443767002335,-0.8566436767578125,1.056627869606018,1.1125139594078064,926956,-1.0754555631428957,926911,8,0.016815714072436094,3658,7,-0.09460565447807312,241448,797908,983038,1.0104570334654416e-09,3.209197296327737e-05
layer7_wo_grads.bin,589824,-0.0005546679812373531,0.5636151058404314,-4.808889389038086,4.216029167175293,7.312607288360596,318602,-6.820425033569336,318549,7,0.7475088238716125,83250,8,-0.5217108279466629,19569,412817,589821,-5.0555211906384755e-09,2.332546205408015e-06
layer8_ffn_w1_grads.bin,2359296,-0.00028505400865961456,0.049724033391187895,-0.8347664475440979,0.7287135124206543,0.8479131897911429,1654975,-0.91351318359375,1655020,8,0.08212132379412651,2149663,8,-0.016463158652186394,281070,1885459,2359294,5.654609998084727e-10,5.998687407282599e-05
